Customer ID,Gender,Age,Subscription Type,Monthly Charge,Tenure Months,Avg Monthly Watch Hours,Days Since Last Login,Profile Count,Devices Registered,Support Tickets,Churn
OTT-000029,Male,30,Basic,9.99,46,114.3,2,3,3,2,0
OTT-000030,Female,39,Basic,9.99,39,71.9,2,4,4,1,0
OTT-000031,Female,34,Standard,15.49,36,43.5,3,1,3,0,0
OTT-000032,Female,38,Basic,9.99,25,1.0,54,5,1,0,1
OTT-000033,Female,27,Basic,9.99,16,35.0,5,2,2,0,0
OTT-000034,Male,30,Standard,15.49,35,1.0,5,1,1,0,0
OTT-000035,Male,35,Standard,15.49,30,74.6,6,3,2,1,0
OTT-000036,Male,55,Standard,15.49,6,54.8,0,3,2,3,0
OTT-000037,Female,27,Standard,15.49,14,55.8,5,2,1,0,0
OTT-000038,Female,48,Basic,9.99,58,44.1,7,5,3,0,0
OTT-000039,Male,51,Basic,9.99,2,49.5,1,5,5,1,0
OTT-000040,Male,43,Basic,9.99,18,58.9,16,5,3,1,0
OTT-000041,Male,45,Basic,9.99,20,43.3,18,1,5,1,0
OTT-000042,Female,43,Basic,9.99,36,80.1,11,2,3,0,0
OTT-000043,Female,54,Premium,22.99,6,25.9,1,4,5,0,0
OTT-000044,Female,53,Premium,22.99,58,80.8,15,1,4,0,0
OTT-000045,Male,36,Basic,9.99,12,28.0,20,3,4,0,0
OTT-000046,Female,52,Standard,15.49,19,40.8,4,5,1,1,0
OTT-000047,Female,32,Standard,15.49,42,30.4,17,3,5,0,0
OTT-000048,Female,67,Standard,15.49,19,47.8,8,3,5,1,0
OTT-000049,Female,58,Standard,15.49,48,49.3,1,1,2,1,0
OTT-000050,Male,69,Premium,22.99,56,67.7,9,4,2,0,0
OTT-000051,Male,41,Basic,9.99,1,44.5,18,5,4,0,0
OTT-000052,Male,60,Standard,15.49,14,52.9,14,2,3,1,0
OTT-000053,Female,66,Standard,15.49,33,28.7,18,3,3,0,0
OTT-000054,Female,41,Basic,9.99,30,38.4,9,2,2,0,0
OTT-000055,Male,55,Premium,22.99,57,39.7,41,2,2,0,0
OTT-000056,Female,57,Standard,15.49,10,1.0,14,5,4,0,1
OTT-000057,Female,21,Basic,9.99,46,27.9,8,2,2,1,0
OTT-000058,Male,33,Basic,9.99,28,58.9,30,1,2,1,0
OTT-000059,Male,36,Basic,9.99,59,72.1,9,4,1,0,0
OTT-000060,Male,19,Premium,22.99,12,35.6,0,3,3,0,0
OTT-000061,Female,35,Basic,9.99,28,49.9,1,3,4,1,0
OTT-000062,Male,63,Basic,9.99,4,84.5,16,1,2,0,0
OTT-000063,Male,63,Standard,15.49,41,61.7,31,2,4,1,0
OTT-000064,Female,34,Basic,9.99,3,4.8,11,4,1,0,1
OTT-000065,Male,21,Basic,9.99,38,37.6,6,2,4,1,0
OTT-000066,Male,47,Basic,9.99,38,76.0,16,3,4,1,0
OTT-000067,Female,66,Basic,9.99,9,22.8,6,5,1,0,0
OTT-000068,Female,31,Basic,9.99,16,36.8,1,5,1,2,1
OTT-000069,Female,21,Premium,22.99,39,5.0,3,1,1,0,0
OTT-000070,Female,23,Basic,9.99,48,33.6,35,4,1,0,0
OTT-000071,Male,57,Premium,22.99,40,23.7,10,2,2,2,0
OTT-000072,Male,42,Basic,9.99,26,44.7,8,4,3,1,0
OTT-000073,Male,64,Basic,9.99,24,2.5,7,1,4,0,0
OTT-000074,Male,47,Basic,9.99,35,37.5,2,5,2,0,0
OTT-000075,Male,40,Basic,9.99,17,79.8,11,2,5,0,0
OTT-000076,Female,36,Standard,15.49,12,44.6,4,1,5,1,0
OTT-000077,Male,36,Premium,22.99,22,40.2,6,3,3,1,0
OTT-000078,Female,69,Standard,15.49,9,26.9,4,2,1,1,0
OTT-000079,Female,52,Premium,22.99,12,60.1,26,1,4,1,0
OTT-000080,Female,52,Basic,9.99,52,62.2,12,1,1,1,0
OTT-000081,Female,57,Standard,15.49,2,43.1,16,4,2,0,1
OTT-000082,Female,32,Standard,15.49,26,57.3,2,2,2,0,0
OTT-000083,Male,49,Premium,22.99,13,60.7,15,2,2,0,0
OTT-000084,Male,40,Standard,15.49,45,69.4,0,5,2,1,0
OTT-000085,Male,31,Standard,15.49,47,53.8,0,4,5,0,0
OTT-000086,Female,43,Basic,9.99,53,3.2,0,5,3,0,0
OTT-000087,Female,60,Standard,15.49,38,87.7,6,5,5,1,0
OTT-000088,Male,64,Basic,9.99,13,51.3,14,3,2,0,0
OTT-000089,Female,53,Standard,15.49,38,19.1,0,4,4,0,0
OTT-000090,Male,32,Standard,15.49,8,23.6,6,4,1,1,0
OTT-000091,Male,66,Standard,15.49,8,52.3,6,2,4,0,0
OTT-000092,Female,19,Basic,9.99,58,71.7,16,3,4,0,0
OTT-000093,Male,36,Standard,15.49,5,63.5,23,1,4,0,0
OTT-000094,Female,47,Basic,9.99,32,33.8,35,5,3,0,0
OTT-000095,Male,63,Basic,9.99,48,32.0,10,5,4,0,0
OTT-000096,Female,30,Basic,9.99,37,62.0,12,3,4,0,0
OTT-000097,Male,32,Standard,15.49,54,86.5,2,3,2,1,0
OTT-000098,Male,65,Basic,9.99,26,20.8,7,3,4,1,0
OTT-000099,Male,26,Premium,22.99,55,91.8,34,4,4,0,0
OTT-000100,Male,50,Basic,9.99,26,94.3,9,5,2,0,0
OTT-000101,Female,20,Basic,9.99,10,39.3,13,1,3,0,0
OTT-000102,Female,47,Basic,9.99,57,71.6,21,1,2,0,0
OTT-000103,Male,42,Basic,9.99,1,70.6,4,3,1,1,0
OTT-000104,Female,64,Basic,9.99,12,7.2,4,2,5,0,0
OTT-000105,Male,50,Standard,15.49,8,53.1,18,4,3,2,0
OTT-000106,Female,24,Premium,22.99,45,53.4,17,1,5,0,0
OTT-000107,Male,48,Basic,9.99,21,73.4,7,4,3,2,0
OTT-000108,Female,34,Basic,9.99,26,30.5,4,5,2,0,0
OTT-000109,Female,52,Basic,9.99,49,32.8,17,2,2,0,0
OTT-000110,Female,61,Basic,9.99,5,44.8,3,4,2,3,1
OTT-000111,Male,68,Basic,9.99,15,61.6,2,5,3,1,0
OTT-000112,Male,65,Basic,9.99,44,2.6,17,5,1,0,0
OTT-000113,Male,19,Basic,9.99,2,21.8,12,3,3,1,0
OTT-000114,Female,34,Standard,15.49,42,27.4,11,5,3,0,0
OTT-000115,Male,63,Standard,15.49,7,27.0,2,4,4,0,0
OTT-000116,Female,29,Basic,9.99,34,21.5,14,5,3,0,0
OTT-000117,Female,69,Basic,9.99,41,2.6,18,1,1,2,1
OTT-000118,Male,59,Premium,22.99,41,1.0,12,2,3,1,1
OTT-000119,Female,18,Premium,22.99,54,40.2,11,4,1,0,0
OTT-000120,Male,22,Basic,9.99,38,46.1,14,1,1,1,1
OTT-000121,Female,66,Basic,9.99,20,1.0,7,2,5,0,0
OTT-000122,Male,57,Basic,9.99,3,60.4,18,5,1,0,0
OTT-000123,Female,34,Basic,9.99,5,40.4,10,5,4,0,0
OTT-000124,Female,64,Premium,22.99,27,83.8,8,5,2,0,0
OTT-000125,Male,51,Basic,9.99,30,18.1,4,2,2,1,0
OTT-000126,Female,44,Basic,9.99,6,48.0,22,2,1,0,0
OTT-000127,Male,66,Premium,22.99,56,55.6,19,4,2,0,0
OTT-000128,Male,20,Basic,9.99,50,39.4,47,1,3,0,0
OTT-000129,Female,66,Standard,15.49,37,73.2,20,2,4,0,0
OTT-000130,Female,45,Standard,15.49,16,51.6,0,2,3,1,0
OTT-000131,Male,61,Premium,22.99,7,23.3,7,4,5,0,0
OTT-000132,Female,18,Premium,22.99,42,71.4,6,5,4,1,0
OTT-000133,Male,28,Standard,15.49,16,45.4,13,5,3,1,0
OTT-000134,Female,27,Basic,9.99,9,11.9,18,2,5,0,0
OTT-000135,Male,28,Basic,9.99,41,41.4,22,4,3,0,0
OTT-000136,Male,60,Premium,22.99,32,102.3,2,4,1,2,0
OTT-000137,Female,49,Standard,15.49,6,75.5,6,2,5,0,0
OTT-000138,Female,63,Standard,15.49,54,40.8,3,2,1,0,0
OTT-000139,Female,38,Premium,22.99,40,54.0,6,1,3,0,0
OTT-000140,Male,44,Basic,9.99,56,7.8,22,3,4,0,1
OTT-000141,Female,59,Premium,22.99,31,16.1,10,2,5,0,0
OTT-000142,Female,65,Standard,15.49,32,25.8,0,5,3,2,0
OTT-000143,Male,51,Standard,15.49,53,70.8,15,1,5,0,0
OTT-000144,Male,25,Basic,9.99,47,45.3,0,4,2,2,0
OTT-000145,Female,39,Standard,15.49,4,67.6,5,4,5,1,0
OTT-000146,Female,50,Standard,15.49,6,38.2,17,5,3,0,0
OTT-000147,Female,67,Premium,22.99,19,77.1,0,2,3,2,0
OTT-000148,Male,28,Basic,9.99,7,3.3,2,3,2,0,0
OTT-000149,Female,27,Standard,15.49,38,39.6,19,2,3,2,1
OTT-000150,Male,64,Premium,22.99,40,12.5,21,2,5,0,1
OTT-000151,Female,20,Standard,15.49,31,51.9,2,3,3,0,0
OTT-000152,Female,63,Basic,9.99,29,5.7,5,2,4,0,0
OTT-000153,Male,45,Standard,15.49,14,55.3,23,1,3,1,0
OTT-000154,Female,50,Standard,15.49,20,31.5,21,1,3,2,1
OTT-000155,Male,36,Premium,22.99,10,45.4,20,4,4,2,0
OTT-000156,Male,34,Basic,9.99,43,18.6,0,4,4,0,0
OTT-000157,Female,61,Basic,9.99,4,29.9,0,4,5,1,0
OTT-000158,Male,35,Standard,15.49,42,7.7,15,5,1,0,0
OTT-000159,Female,43,Standard,15.49,4,41.4,1,5,1,2,1
OTT-000160,Male,25,Basic,9.99,25,89.7,7,4,4,1,0
OTT-000161,Female,61,Basic,9.99,22,42.0,21,4,4,0,0
OTT-000162,Male,24,Basic,9.99,41,58.1,38,3,4,0,0
OTT-000163,Female,37,Basic,9.99,14,46.9,29,4,2,0,0
OTT-000164,Female,47,Basic,9.99,25,21.0,16,4,5,0,0
OTT-000165,Female,62,Basic,9.99,44,28.4,1,2,2,1,1
OTT-000166,Female,35,Standard,15.49,26,50.8,28,5,3,0,0
OTT-000167,Male,32,Standard,15.49,31,7.9,17,3,4,0,1
OTT-000168,Female,37,Premium,22.99,41,82.2,6,1,2,0,0
OTT-000169,Male,37,Premium,22.99,16,98.9,35,2,5,1,0
OTT-000170,Male,64,Basic,9.99,6,34.3,2,3,3,0,0
OTT-000171,Female,32,Basic,9.99,43,53.9,58,4,1,0,0
OTT-000172,Male,61,Basic,9.99,57,27.6,12,3,3,1,0
OTT-000173,Female,35,Basic,9.99,11,56.6,10,3,2,1,0
OTT-000174,Female,28,Basic,9.99,34,47.0,81,4,4,3,1
OTT-000175,Female,54,Standard,15.49,42,64.3,6,2,2,0,0
OTT-000176,Female,38,Premium,22.99,58,45.9,9,4,2,0,0
OTT-000177,Male,47,Standard,15.49,1,46.6,0,4,4,0,0
OTT-000178,Female,32,Basic,9.99,45,71.1,0,2,3,0,0
OTT-000179,Female,64,Standard,15.49,9,80.4,2,1,2,1,0
OTT-000180,Male,56,Standard,15.49,59,57.7,6,1,2,2,0
OTT-000181,Female,30,Premium,22.99,39,9.9,18,2,1,0,0
OTT-000182,Male,19,Basic,9.99,45,92.6,0,4,5,1,0
OTT-000183,Female,53,Premium,22.99,7,37.9,4,3,3,2,1
OTT-000184,Male,45,Standard,15.49,36,54.1,6,3,1,1,0
OTT-000185,Female,44,Premium,22.99,35,66.5,23,2,2,3,0
OTT-000186,Male,42,Standard,15.49,35,34.5,7,2,1,2,0
OTT-000187,Female,53,Basic,9.99,2,60.9,34,2,2,0,1
OTT-000188,Female,44,Basic,9.99,8,30.8,21,2,4,1,0
OTT-000189,Female,60,Premium,22.99,41,22.5,7,1,2,0,0
OTT-000190,Male,38,Standard,15.49,23,58.9,23,1,1,1,0
OTT-000191,Female,61,Basic,9.99,58,81.1,14,5,5,0,0
OTT-000192,Female,39,Basic,9.99,44,8.7,4,3,4,1,0
OTT-000193,Female,28,Standard,15.49,3,51.7,22,3,2,0,0
OTT-000194,Female,32,Basic,9.99,54,117.7,1,1,4,1,0
OTT-000195,Male,53,Standard,15.49,34,70.9,19,2,4,0,0
OTT-000196,Male,65,Basic,9.99,7,46.2,12,4,4,0,0
OTT-000197,Male,69,Basic,9.99,7,67.2,8,1,1,0,0
OTT-000198,Male,55,Standard,15.49,46,14.6,34,1,4,1,1
OTT-000199,Male,63,Premium,22.99,10,44.7,8,3,4,0,0
OTT-000200,Female,35,Basic,9.99,41,43.4,0,4,3,0,0
OTT-000201,Male,44,Premium,22.99,9,14.9,4,5,5,0,0
OTT-000202,Female,32,Basic,9.99,12,35.5,36,5,2,1,0
OTT-000203,Male,24,Premium,22.99,6,43.1,4,4,2,0,0
OTT-000204,Female,31,Premium,22.99,22,18.9,10,3,3,2,1
OTT-000205,Female,59,Standard,15.49,44,36.1,4,5,3,1,0
OTT-000206,Male,43,Basic,9.99,48,58.8,2,2,2,0,0
OTT-000207,Female,35,Premium,22.99,11,52.8,53,5,2,0,0
OTT-000208,Female,20,Basic,9.99,33,31.9,24,4,5,0,1
OTT-000209,Female,29,Premium,22.99,23,57.6,4,3,3,1,0
OTT-000210,Male,20,Premium,22.99,30,71.1,2,5,2,0,0
OTT-000211,Male,38,Standard,15.49,28,26.5,5,4,2,1,0
OTT-000212,Male,41,Premium,22.99,1,37.9,3,5,3,2,0
OTT-000213,Male,40,Premium,22.99,47,94.1,9,4,1,2,0
OTT-000214,Female,60,Basic,9.99,19,58.2,8,5,5,1,0
OTT-000215,Female,54,Basic,9.99,47,53.2,3,2,1,0,0
OTT-000216,Male,40,Basic,9.99,17,23.8,0,2,3,1,1
OTT-000217,Female,68,Standard,15.49,49,52.1,2,1,2,0,0
OTT-000218,Female,34,Basic,9.99,14,11.0,0,4,4,0,0
OTT-000219,Female,38,Basic,9.99,56,57.1,28,3,3,1,0
OTT-000220,Female,18,Standard,15.49,46,1.0,2,5,4,1,0
OTT-000221,Male,43,Standard,15.49,15,96.8,13,4,4,0,0
OTT-000222,Male,18,Premium,22.99,16,97.9,25,2,4,0,0
OTT-000223,Male,25,Basic,9.99,4,48.0,1,1,3,0,0
OTT-000224,Female,65,Basic,9.99,2,16.3,8,4,5,1,1
OTT-000225,Male,55,Basic,9.99,21,56.3,13,5,4,1,0
OTT-000226,Female,47,Basic,9.99,25,72.0,1,5,3,0,0
OTT-000227,Male,40,Premium,22.99,28,35.0,3,5,4,1,0
OTT-000228,Male,22,Standard,15.49,51,1.0,1,2,4,3,0
OTT-000229,Female,59,Premium,22.99,57,52.5,6,2,3,0,0
OTT-000230,Female,58,Basic,9.99,21,4.3,1,2,4,0,0
OTT-000231,Male,52,Basic,9.99,38,64.4,6,3,2,0,0
OTT-000232,Male,63,Basic,9.99,23,35.1,0,5,1,0,0
OTT-000233,Male,62,Basic,9.99,58,40.4,2,4,5,0,0
OTT-000234,Male,28,Premium,22.99,38,58.3,8,2,2,1,0
OTT-000235,Female,22,Basic,9.99,6,17.4,5,1,3,0,0
OTT-000236,Male,20,Premium,22.99,59,11.2,4,3,4,1,0
OTT-000237,Male,40,Basic,9.99,23,35.4,1,5,1,0,0
OTT-000238,Male,59,Premium,22.99,49,60.0,10,4,4,2,0
OTT-000239,Male,58,Premium,22.99,26,71.8,4,5,4,0,0
OTT-000240,Male,42,Basic,9.99,38,35.7,14,2,4,1,0
OTT-000241,Female,23,Standard,15.49,20,32.4,1,2,4,0,1
OTT-000242,Male,50,Basic,9.99,45,1.0,2,5,4,1,1
OTT-000243,Female,54,Standard,15.49,3,56.1,4,1,3,0,0
OTT-000244,Male,57,Standard,15.49,24,1.0,19,5,5,1,1
OTT-000245,Female,41,Premium,22.99,58,74.3,9,2,2,1,0
OTT-000246,Female,24,Premium,22.99,44,45.7,20,4,5,0,0
OTT-000247,Female,26,Premium,22.99,46,79.6,3,5,3,1,0
OTT-000248,Female,18,Standard,15.49,34,1.0,3,4,2,2,1
OTT-000249,Male,60,Standard,15.49,8,72.9,21,2,3,0,0
OTT-000250,Female,28,Premium,22.99,39,52.1,3,5,3,0,0
OTT-000251,Male,50,Basic,9.99,10,34.1,2,1,5,0,0
OTT-000252,Male,20,Standard,15.49,18,31.0,47,2,1,0,0
OTT-000253,Male,69,Basic,9.99,23,81.6,10,1,2,0,0
OTT-000254,Male,18,Standard,15.49,36,3.4,9,5,1,3,1
OTT-000255,Male,39,Standard,15.49,3,15.7,15,2,3,0,0
OTT-000256,Female,50,Premium,22.99,58,77.9,29,1,2,2,0
OTT-000257,Female,31,Basic,9.99,50,38.8,9,2,1,1,0
OTT-000258,Female,45,Standard,15.49,58,92.4,7,4,2,1,0
OTT-000259,Female,48,Basic,9.99,10,13.7,19,5,2,0,1
OTT-000260,Male,45,Premium,22.99,1,67.8,11,2,3,2,0
OTT-000261,Male,20,Standard,15.49,11,42.4,38,3,2,1,1
OTT-000262,Male,55,Standard,15.49,21,69.1,16,3,2,2,0
OTT-000263,Male,26,Basic,9.99,2,34.0,17,4,1,1,1
OTT-000264,Male,21,Standard,15.49,51,70.6,28,1,1,1,0
OTT-000265,Female,35,Basic,9.99,2,46.7,4,3,2,0,0
OTT-000266,Female,58,Basic,9.99,36,53.0,12,4,5,0,0
OTT-000267,Female,51,Basic,9.99,14,48.5,2,5,4,1,0
OTT-000268,Male,59,Standard,15.49,58,86.9,5,5,3,0,0
OTT-000269,Male,23,Standard,15.49,5,49.1,6,1,5,0,0
OTT-000270,Male,61,Standard,15.49,43,68.9,9,4,2,1,0
OTT-000271,Male,31,Basic,9.99,40,23.9,8,5,1,0,0
OTT-000272,Female,56,Standard,15.49,45,47.5,9,4,2,1,0
OTT-000273,Male,28,Standard,15.49,46,47.4,28,4,3,0,0
OTT-000274,Male,33,Premium,22.99,1,78.8,4,3,5,1,0
OTT-000275,Male,19,Premium,22.99,13,37.2,0,5,1,0,0
OTT-000276,Female,68,Basic,9.99,10,58.7,8,1,1,0,0
OTT-000277,Female,55,Premium,22.99,46,6.6,8,4,4,0,0
OTT-000278,Female,42,Basic,9.99,36,58.7,6,4,2,0,0
OTT-000279,Male,21,Standard,15.49,51,37.7,23,2,4,1,0
OTT-000280,Male,30,Standard,15.49,14,78.4,5,5,3,0,0
OTT-000281,Female,67,Premium,22.99,30,57.0,24,4,2,0,0
OTT-000282,Female,56,Premium,22.99,38,22.1,16,4,1,0,0
OTT-000283,Male,26,Premium,22.99,17,39.6,27,2,5,1,1
OTT-000284,Male,22,Basic,9.99,46,103.9,6,4,5,1,0
OTT-000285,Female,54,Standard,15.49,26,7.7,11,5,5,2,0
OTT-000286,Male,28,Standard,15.49,13,58.2,3,3,5,0,0
OTT-000287,Male,30,Premium,22.99,37,23.3,17,3,3,0,0
OTT-000288,Female,45,Premium,22.99,30,80.2,5,1,3,1,0
OTT-000289,Male,39,Standard,15.49,49,15.1,10,4,5,0,0
OTT-000290,Female,58,Basic,9.99,18,19.7,5,3,4,1,0
OTT-000291,Male,50,Basic,9.99,28,31.0,58,3,5,2,1
OTT-000292,Male,30,Premium,22.99,12,95.4,8,5,4,2,0
OTT-000293,Female,34,Standard,15.49,7,41.1,5,1,3,0,0
OTT-000294,Female,60,Basic,9.99,39,5.1,56,2,2,0,1
OTT-000295,Female,64,Standard,15.49,4,2.9,30,2,2,0,1
OTT-000296,Male,20,Basic,9.99,59,37.1,6,2,2,1,0
OTT-000297,Female,49,Standard,15.49,17,34.7,20,5,4,0,0
OTT-000298,Female,39,Standard,15.49,34,43.7,2,1,3,1,0
OTT-000299,Female,31,Basic,9.99,34,54.8,15,1,1,0,0
OTT-000300,Female,67,Standard,15.49,23,88.7,2,2,4,0,0
OTT-000301,Male,32,Standard,15.49,51,34.1,15,5,4,1,0
OTT-000302,Female,19,Standard,15.49,15,76.0,0,1,3,0,0
OTT-000303,Male,69,Standard,15.49,58,39.0,21,5,1,0,0
OTT-000304,Female,42,Standard,15.49,30,31.4,0,1,1,2,0
OTT-000305,Female,59,Basic,9.99,14,108.7,29,5,5,0,0
OTT-000306,Female,27,Basic,9.99,55,26.3,18,4,1,0,0
OTT-000307,Male,26,Standard,15.49,7,99.9,21,1,1,1,0
OTT-000308,Female,35,Basic,9.99,53,34.6,13,5,1,0,0
OTT-000309,Male,53,Standard,15.49,6,32.8,3,1,2,0,0
OTT-000310,Female,41,Basic,9.99,31,44.1,39,5,4,0,0
OTT-000311,Female,54,Standard,15.49,34,39.7,3,4,4,0,0
OTT-000312,Male,35,Standard,15.49,47,11.4,4,2,3,1,0
OTT-000313,Male,69,Premium,22.99,49,69.7,25,1,4,0,0
OTT-000314,Male,41,Standard,15.49,13,1.2,2,4,5,0,1
OTT-000315,Male,55,Standard,15.49,13,30.6,11,1,4,0,0
OTT-000316,Female,56,Standard,15.49,28,17.6,17,2,1,1,0
OTT-000317,Male,43,Basic,9.99,23,51.8,14,5,1,1,0
OTT-000318,Female,48,Standard,15.49,40,96.3,22,5,1,0,0
OTT-000319,Female,34,Standard,15.49,14,31.3,1,5,5,1,0
OTT-000320,Female,66,Basic,9.99,5,82.3,8,3,1,1,0
OTT-000321,Male,48,Standard,15.49,5,23.5,1,4,1,1,0
OTT-000322,Female,60,Standard,15.49,5,68.8,1,1,1,0,0
OTT-000323,Female,32,Standard,15.49,36,34.7,4,2,1,1,0
OTT-000324,Male,21,Standard,15.49,19,9.9,10,2,5,0,0
OTT-000325,Male,20,Basic,9.99,5,38.0,4,2,1,0,0
OTT-000326,Male,53,Standard,15.49,40,39.3,14,3,3,2,0
OTT-000327,Female,61,Standard,15.49,53,88.2,22,4,5,0,0
OTT-000328,Female,64,Basic,9.99,21,21.2,0,5,2,0,0
OTT-000329,Female,26,Basic,9.99,50,59.9,6,1,4,0,0
OTT-000330,Female,47,Standard,15.49,43,14.2,12,3,2,0,0
OTT-000331,Female,60,Basic,9.99,54,5.0,23,3,5,0,1
OTT-000332,Female,66,Basic,9.99,57,56.0,2,4,5,0,0
OTT-000333,Female,62,Premium,22.99,35,47.1,2,5,5,0,0
OTT-000334,Female,57,Basic,9.99,55,28.2,16,2,4,1,0
OTT-000335,Male,66,Basic,9.99,40,31.9,17,1,5,1,1
OTT-000336,Female,52,Basic,9.99,8,13.7,5,4,2,2,1
OTT-000337,Male,59,Basic,9.99,5,63.9,0,4,3,0,0
OTT-000338,Male,53,Standard,15.49,10,77.0,8,1,4,2,0
OTT-000339,Male,43,Basic,9.99,2,4.0,2,4,1,3,1
OTT-000340,Male,22,Premium,22.99,39,40.5,14,3,3,0,0
OTT-000341,Female,45,Standard,15.49,9,41.7,25,1,2,1,0
OTT-000342,Male,36,Standard,15.49,2,34.9,14,2,2,2,0
OTT-000343,Female,46,Standard,15.49,17,52.4,3,1,2,0,0
OTT-000344,Female,66,Standard,15.49,39,58.6,1,1,4,0,0
OTT-000345,Female,30,Premium,22.99,53,65.4,6,4,5,3,0
OTT-000346,Female,39,Premium,22.99,29,22.4,1,3,5,0,0
OTT-000347,Male,46,Standard,15.49,34,39.8,16,5,5,3,0
OTT-000348,Female,68,Standard,15.49,45,65.8,2,2,2,0,0
OTT-000349,Male,22,Basic,9.99,12,34.7,8,2,2,0,0
OTT-000350,Male,23,Basic,9.99,58,55.0,0,2,2,0,0
OTT-000351,Female,54,Standard,15.49,13,21.5,14,4,5,0,0
OTT-000352,Male,47,Basic,9.99,25,34.8,28,4,5,0,0
OTT-000353,Female,63,Basic,9.99,52,3.4,0,3,3,0,0
OTT-000354,Female,65,Premium,22.99,46,55.6,2,5,2,1,0
OTT-000355,Male,67,Standard,15.49,2,21.1,3,5,3,0,1
OTT-000356,Male,52,Premium,22.99,34,59.2,24,2,4,1,0
OTT-000357,Female,68,Standard,15.49,25,75.3,18,3,1,1,0
OTT-000358,Male,51,Premium,22.99,33,64.1,12,2,2,0,0
OTT-000359,Female,29,Basic,9.99,25,37.9,8,1,4,0,0
OTT-000360,Male,51,Standard,15.49,39,54.9,25,2,5,0,0
OTT-000361,Female,53,Standard,15.49,56,66.4,12,3,4,0,0
OTT-000362,Female,61,Basic,9.99,16,67.1,6,1,1,1,0
OTT-000363,Male,32,Premium,22.99,14,83.8,11,4,3,0,0
OTT-000364,Female,28,Basic,9.99,4,16.0,6,3,1,1,1
OTT-000365,Female,65,Basic,9.99,10,47.8,26,3,4,0,1
OTT-000366,Female,69,Standard,15.49,8,65.6,0,3,1,0,0
OTT-000367,Female,51,Standard,15.49,29,44.6,15,5,3,0,0
OTT-000368,Male,54,Basic,9.99,56,54.4,14,3,1,1,0
OTT-000369,Male,68,Basic,9.99,58,63.3,49,4,5,1,0
OTT-000370,Female,52,Basic,9.99,18,53.2,2,5,3,0,0
OTT-000371,Female,48,Standard,15.49,45,29.9,29,1,3,1,0
OTT-000372,Female,18,Standard,15.49,57,16.8,9,3,4,0,0
OTT-000373,Male,39,Standard,15.49,43,63.6,4,2,3,3,0
OTT-000374,Female,38,Standard,15.49,9,76.6,19,1,3,0,0
OTT-000375,Male,44,Basic,9.99,19,68.9,5,5,3,2,0
OTT-000376,Male,18,Basic,9.99,14,64.3,7,3,4,1,0
OTT-000377,Male,22,Basic,9.99,41,35.7,7,4,1,0,0
OTT-000378,Female,51,Basic,9.99,13,54.9,10,4,3,0,0
OTT-000379,Female,45,Standard,15.49,35,62.2,10,2,2,1,0
OTT-000380,Female,64,Standard,15.49,29,39.6,30,1,1,0,0
OTT-000381,Female,22,Premium,22.99,3,30.3,2,5,3,3,1
OTT-000382,Male,50,Basic,9.99,21,32.6,23,2,5,0,0
OTT-000383,Male,28,Basic,9.99,4,53.2,9,3,3,1,0
OTT-000384,Male,67,Basic,9.99,36,29.1,9,3,4,2,0
