Age,Monthly Charge,Tenure Months,Avg Monthly Watch Hours,Days Since Last Login,Profile Count,Devices Registered,Support Tickets,Gender_Female,Gender_Male,Subscription Type_Basic,Subscription Type_Premium,Subscription Type_Standard,Churn
48.0,22.99,14.0,42.9,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0
21.0,9.99,36.0,35.3,15.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1
60.0,22.99,16.0,36.2,3.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0
61.0,9.99,2.0,38.7,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
50.0,15.49,56.0,95.0,57.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
48.0,9.99,38.0,23.5,53.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1
63.0,22.99,19.0,12.4,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0
69.0,9.99,5.0,68.2,2.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0
46.0,9.99,41.0,8.1,3.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0
40.0,9.99,33.0,80.9,16.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0
49.0,9.99,8.0,39.8,9.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1
27.0,15.49,37.0,39.5,6.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0
43.0,15.49,28.0,37.3,8.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0
34.0,15.49,7.0,41.1,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0
18.0,15.49,18.0,16.0,4.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
21.0,9.99,36.0,82.6,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
58.0,15.49,6.0,91.2,5.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0
44.0,22.99,33.0,1.0,12.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
64.0,9.99,7.0,106.0,23.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0
27.0,9.99,2.0,41.2,5.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0
48.0,22.99,36.0,36.3,18.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0
54.0,15.49,48.0,88.1,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0
37.0,15.49,19.0,53.2,6.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0
54.0,22.99,20.0,81.6,2.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0
51.0,15.49,39.0,54.9,25.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0
53.0,9.99,42.0,51.9,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
26.0,9.99,29.0,79.6,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
61.0,9.99,16.0,67.1,6.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0
48.0,9.99,40.0,104.8,13.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0
28.0,9.99,4.0,16.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1
60.0,15.49,31.0,30.4,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0
28.0,15.49,23.0,51.8,13.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0
42.0,15.49,2.0,55.5,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
48.0,22.99,35.0,45.2,2.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
50.0,22.99,4.0,20.2,3.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0
55.0,22.99,22.0,3.0,29.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1
36.0,9.99,47.0,35.0,12.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
19.0,9.99,31.0,73.6,28.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0
29.0,15.49,47.0,60.1,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0
19.0,9.99,34.0,29.5,22.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
63.0,15.49,24.0,64.7,6.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0
48.0,22.99,23.0,6.3,6.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1
22.0,9.99,21.0,62.7,16.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
61.0,22.99,27.0,61.2,11.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
38.0,15.49,28.0,26.5,5.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0
48.0,15.49,17.0,75.3,4.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
34.0,15.49,22.0,34.7,7.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0
65.0,22.99,35.0,53.6,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
66.0,15.49,31.0,46.5,25.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1
48.0,9.99,39.0,32.6,21.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0
34.0,22.99,37.0,35.7,24.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
20.0,15.49,50.0,26.7,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0
68.0,15.49,18.0,4.7,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
64.0,9.99,21.0,21.2,0.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0
49.0,15.49,59.0,70.8,16.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
38.0,15.49,26.0,50.6,17.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0
18.0,15.49,10.0,49.3,9.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0
38.0,15.49,30.0,84.2,8.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0
19.0,15.49,43.0,49.1,21.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0
55.0,22.99,12.0,76.3,9.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0
21.0,15.49,3.0,57.2,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0
34.0,15.49,14.0,31.3,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0
68.0,9.99,45.0,68.5,13.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
43.0,22.99,54.0,75.3,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0
28.0,22.99,34.0,65.8,12.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0
47.0,15.49,45.0,63.0,6.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0
23.0,9.99,21.0,44.7,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
53.0,9.99,7.0,1.0,10.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0
66.0,15.49,6.0,53.4,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0
55.0,9.99,56.0,34.3,8.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0
52.0,22.99,18.0,80.9,22.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
21.0,9.99,32.0,35.4,5.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0
44.0,9.99,26.0,57.6,9.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0
58.0,22.99,18.0,69.5,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0
26.0,9.99,32.0,43.1,3.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
49.0,9.99,46.0,56.7,6.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0
23.0,9.99,25.0,72.6,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0
62.0,22.99,34.0,25.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
31.0,22.99,16.0,1.0,9.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0
52.0,22.99,34.0,59.2,24.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0
19.0,9.99,34.0,71.5,18.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0
36.0,15.49,43.0,45.5,27.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0
31.0,9.99,50.0,75.8,5.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0
69.0,9.99,29.0,48.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0
35.0,15.49,11.0,33.2,10.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
24.0,9.99,14.0,103.8,11.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0
38.0,22.99,58.0,45.9,9.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
30.0,15.49,9.0,83.0,11.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0
25.0,15.49,44.0,23.1,32.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0
68.0,15.49,20.0,46.3,3.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0
53.0,15.49,49.0,45.7,37.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0
62.0,9.99,57.0,75.9,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0
26.0,22.99,24.0,64.1,2.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0
61.0,9.99,12.0,37.6,4.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0
56.0,15.49,49.0,73.6,23.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
60.0,15.49,12.0,64.6,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0
55.0,15.49,8.0,71.2,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0
37.0,9.99,25.0,50.3,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0
41.0,9.99,48.0,37.3,13.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0
51.0,9.99,58.0,17.0,16.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0
61.0,15.49,52.0,15.9,17.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1
58.0,15.49,19.0,44.9,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0
20.0,15.49,1.0,85.7,27.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0
37.0,9.99,27.0,44.9,17.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0
45.0,22.99,33.0,32.3,1.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0
39.0,22.99,12.0,41.1,19.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0
39.0,22.99,34.0,101.1,4.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0
33.0,9.99,46.0,40.6,13.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0
24.0,9.99,28.0,39.3,14.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0
42.0,15.49,58.0,25.9,7.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0
38.0,9.99,37.0,37.9,10.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0
31.0,9.99,36.0,67.8,9.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0
44.0,9.99,12.0,62.3,27.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0
66.0,9.99,50.0,29.8,4.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
28.0,22.99,4.0,15.3,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0
62.0,9.99,56.0,34.3,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
25.0,9.99,48.0,55.9,7.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
31.0,22.99,57.0,32.0,7.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0
36.0,15.49,35.0,60.8,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
40.0,9.99,43.0,30.9,12.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0
38.0,22.99,24.0,40.4,9.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
62.0,15.49,47.0,47.1,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0
34.0,9.99,29.0,33.6,16.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0
67.0,15.49,13.0,74.5,10.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
26.0,9.99,6.0,32.4,0.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0
55.0,15.49,25.0,48.9,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
62.0,22.99,54.0,53.7,6.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0
18.0,15.49,3.0,40.2,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
44.0,9.99,45.0,71.0,7.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
54.0,9.99,48.0,36.0,11.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
33.0,15.49,41.0,60.0,6.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0
36.0,15.49,2.0,34.9,14.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0
23.0,9.99,53.0,40.9,46.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0
64.0,9.99,56.0,24.6,12.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
38.0,15.49,4.0,43.1,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0
60.0,22.99,41.0,22.5,7.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0
22.0,9.99,38.0,46.1,14.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1
36.0,9.99,24.0,35.4,6.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0
51.0,15.49,33.0,33.4,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
48.0,15.49,25.0,58.0,27.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,1
65.0,22.99,18.0,60.8,4.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0
28.0,9.99,10.0,63.8,23.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0
27.0,9.99,45.0,40.7,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
33.0,9.99,38.0,34.6,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
59.0,15.49,43.0,60.9,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0
59.0,15.49,21.0,1.0,5.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0
38.0,9.99,47.0,50.7,15.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
19.0,15.49,1.0,65.7,23.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
42.0,15.49,22.0,56.1,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
46.0,15.49,4.0,61.9,13.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0
69.0,15.49,9.0,26.9,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
47.0,15.49,43.0,14.2,12.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0
34.0,9.99,22.0,38.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0
63.0,15.49,48.0,34.4,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0
68.0,15.49,37.0,4.8,40.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1
37.0,22.99,19.0,62.6,1.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0
55.0,15.49,35.0,34.7,7.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
28.0,15.49,46.0,47.4,28.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0
36.0,22.99,51.0,41.5,14.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0
27.0,9.99,27.0,20.2,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1
65.0,15.49,11.0,37.2,11.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0
47.0,9.99,42.0,20.6,33.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1
53.0,9.99,19.0,39.4,22.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1
24.0,15.49,13.0,86.9,16.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
67.0,9.99,15.0,32.2,25.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0
29.0,9.99,49.0,30.8,43.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1
24.0,22.99,37.0,85.8,3.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0
32.0,9.99,29.0,70.4,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0
24.0,22.99,56.0,71.4,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0
31.0,15.49,47.0,53.8,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0
57.0,22.99,52.0,59.4,27.0,3.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0
41.0,22.99,22.0,1.0,15.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
42.0,9.99,22.0,43.2,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0
62.0,9.99,13.0,64.1,14.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0
42.0,15.49,23.0,74.0,7.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
68.0,9.99,28.0,42.6,19.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0
49.0,22.99,56.0,38.3,9.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0
46.0,22.99,42.0,39.1,2.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0
32.0,15.49,21.0,15.6,42.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1
61.0,9.99,5.0,44.8,3.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1
42.0,15.49,6.0,28.1,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0
40.0,9.99,27.0,54.2,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0
60.0,15.49,40.0,17.6,20.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0
36.0,15.49,52.0,22.3,15.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0
35.0,15.49,16.0,36.1,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0
24.0,22.99,45.0,53.4,17.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0
23.0,15.49,6.0,31.1,7.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0
63.0,9.99,55.0,43.5,15.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0
56.0,22.99,1.0,77.1,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0
53.0,15.49,6.0,32.1,7.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
65.0,15.49,33.0,69.1,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0
22.0,22.99,30.0,87.9,3.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0
39.0,9.99,6.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1
54.0,22.99,39.0,1.0,27.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1
46.0,15.49,31.0,76.8,10.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
67.0,15.49,35.0,62.0,18.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0
64.0,15.49,54.0,72.2,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0
56.0,9.99,5.0,74.9,2.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0
42.0,15.49,15.0,24.4,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0
55.0,15.49,49.0,5.7,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0
56.0,15.49,7.0,24.3,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0
60.0,15.49,33.0,60.3,3.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0
22.0,9.99,53.0,41.3,9.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0
56.0,15.49,14.0,31.4,2.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1
23.0,22.99,37.0,26.4,3.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0
40.0,9.99,23.0,56.0,70.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1
65.0,15.49,36.0,52.2,10.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0
43.0,22.99,50.0,66.7,56.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1
61.0,9.99,56.0,30.2,1.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0
58.0,15.49,12.0,33.7,14.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0
53.0,9.99,40.0,51.7,22.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0
23.0,15.49,54.0,43.4,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0
24.0,9.99,20.0,1.0,51.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1
42.0,9.99,8.0,68.4,39.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
21.0,15.49,22.0,1.0,19.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1
27.0,15.49,9.0,22.9,7.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0
26.0,22.99,11.0,54.8,27.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0
22.0,9.99,28.0,1.0,6.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1
39.0,22.99,39.0,52.4,12.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
59.0,22.99,40.0,47.7,7.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0
69.0,22.99,50.0,27.5,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0
33.0,9.99,28.0,58.9,30.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0
31.0,9.99,1.0,7.2,10.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1
31.0,15.49,38.0,45.2,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0
19.0,9.99,5.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
35.0,22.99,12.0,22.2,1.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0
62.0,22.99,47.0,65.4,49.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,1
40.0,22.99,31.0,54.9,14.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0
36.0,15.49,31.0,68.8,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0
53.0,9.99,45.0,6.3,14.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0
